Gan ここに立つ, 30s
Billy ここに立つ, 10s
Billy 着替える, 3s
Gan 目を細めて中を見る, 3s
Suzu ここに立つ, 10s
Suzu Billyを見る, 10s
Yuka ここに立つ, 10s
Gan たまに手を振る, 3s
Yuka 外を向く, 3s
Yuno ここに立つ, 5s
Billy Suzuを見る, 3s
Suzu Yunoを見る, 3s
Gan 窓に触る, 1s
Yuno Ganを見る, 1s
Yuka たまに手を振る, 1s
Yuka 名前を知らないヒトに呼びかける, 1s
Gan 中のヒトに呼び掛ける, 1s
Yuno ポーズをとる, 5s
Yuno 猫です, 3s
Suzu 背後を気にする, 5s
Suzu ヒトだと聞きましたが, 3s
Billy ポーズをとる, 5s
Billy ヒトです, 3s
Gan 窓に顔を寄せる, 5s
Gan 猫だと聞きましたが, 5s
Yuno ポーズをとる, 3s
Yuno 猫です, 3s
Suzu 誰かを探すようにキョロキョロする, 3s
Suzu ヒトだと聞きましたが, 3s
Billy ポーズをとる, 3s
Billy ヒトです, 3s
Gan 唾をためて飲み込む, 3s
Gan 猫だと聞きましたが, 5s
Yuno ポーズをとる, 3s
Yuno 猫です, 3s
Suzu 壁に触る, 3s
Suzu ヒトだと聞きましたが, 3s
Billy ポーズをとる, 3s
Billy ヒトです, 3s
Gan ゆっくり顔を変える, 3s
Gan 猫だと聞きましたが, 5s
Yuka 部屋の方を向く, 3s
Yuka ゾウよ, 3s
Yuno ゾウ？, 3s
Billy ゾウ？, 3s
Suzu ゾウ？, 3s
Yuka 窓に書いて見せる, 3s
Yuka ゾウよ, 3s
Gan さむがる, 3s
Gan ゾーーーーーッ, 3s
Suzu Ganを見る, 3s
Billy Ganを見る, 3s
Yuno Ganを見る, 3s
Gan 部屋に入って窓を閉める, 3s
Gan 誰かとにらめっこする, 3s
Billy にらめっこに加わる, 3s
Suzu　にらめっこに加わる, 3s
Yuka ゾウだったのよ。ゾウだったわ。ゾウは鼻ね。ゾウの、鼻……。, 3s
Yuno Yukaを見る, 1s
Suzu Yukaを見る, 1s
Billy Yukaを見る, 1s
Gan Yukaを見る, 3s
Gan ゾウさん　ゾウさん　お鼻が長いのね　そうよ　母さんも　長いのよ, 3s
Yuka 台詞を繰り返す, 1s
Yuno ポーズをとる, 1s
Yuka 台詞を繰り返す, 1s
Yuno ポーズをとる, 3s
Yuno ポーズをとる, 1s
Yuno ゾウの鼻, 1s
Yuno 長い, 1s
Suzu 太い, 1s
Billy 重い, 5s
Gan Suzuに近づく, 3s
Billy Suzuに近づく, 5s
Suzu 走りに行く, 3s
Billy その場で足踏みする, 3s
Gan 今この瞬間に聞こえる一番小さな音を探す, 3s
Yuno 目を閉じて、遠くの音と近くの音を聞き分ける, 10s
Suzu 帰ってくる, 3s
Yuno 話を戻しませんか, 1s
Billy 足踏みをやめる, 3s
Suzu 私はヒトだと聞きました, 3s
Billy ポーズをとる, 3s
Billy ヒトです, 3s
Gan 猫だと聞きましたが, 3s
Yuno ポーズをとる, 3s
Yuno 猫です。名前はブンザエモンと言いました。ブンザエモンなぞという名前のヒト間が今時存在すると思いますか？ネコですよ、当然。, 5s
Gan 拍手する, 3s
Billy しかし、ですよ。ネコをバツバツたりしますか？, 1s
Yuno します, 1s
Suzu あんたバツバツたんですか？, 1s
Yuno 私はバツバツてませんよ。だが、聞いたことはある。それに、ヒト間をバツバツたりしたら、これはもう、大変なことだ。, 1s
Gan 犯罪です。バツバツなくたっても、犯罪だ。生きたままバツバツる、という訳にはいかんでしょう。まず、殺さなくちゃならん。, 1s
Suzu 私は昔、生きたままのエビをバツバツたことがありますよ。それから、生きたままのシラウオもバツバツました。, 1s
Yuno シラウオは、こんなもんでしょう。エビは、この位だ。しかしヒトは、こんなだ。それを生きたままバツバツたりしませんよ。, 1s
Billy 赤ん坊だったら、どうです？, 1s
Gan 赤ん坊なら、可能でしょう。, 1s
Suzu しかし、赤ん坊を生きたままバツバツるというのは、私、趣味じゃないですね。, 1s
Yuno あんたの趣味を聞いてやしません。話題はバツバツられたのは、ヒトかネコか、ということですよ。, 1s
